"indicator","session","currency","Unit","Date","Value"
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/17/2006",2.325
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/18/2006",2.3282
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/19/2006",2.3317
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/20/2006",2.3382
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/26/2006",2.3401
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/27/2006",2.3339
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/30/2006",2.3345
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/31/2006",2.3352
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/01/2006",2.3407
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/02/2006",2.3427
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/03/2006",2.3376
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/06/2006",2.3345
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/07/2006",2.336
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/08/2006",2.3356
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/09/2006",2.336
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/10/2006",2.337
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/13/2006",2.3368
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/14/2006",2.3372
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/15/2006",2.3401
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/16/2006",2.3441
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/17/2006",2.3425
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/20/2006",2.3417
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/21/2006",2.3434
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/22/2006",2.3417
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/23/2006",2.3419
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/24/2006",2.3461
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/27/2006",2.3415
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/28/2006",2.3483
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/29/2006",2.3501
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","11/30/2006",2.343
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/01/2006",2.3314
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/04/2006",2.3249
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/05/2006",2.322
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/06/2006",2.315
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/07/2006",2.303
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/08/2006",2.3095
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/11/2006",2.2994
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/12/2006",2.3018
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/13/2006",2.3019
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/14/2006",2.3068
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/15/2006",2.3042
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/18/2006",2.3058
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/19/2006",2.3034
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/20/2006",2.3081
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/21/2006",2.3015
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/22/2006",2.2981
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/26/2006",2.297
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/27/2006",2.2985
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/28/2006",2.2975
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","12/29/2006",2.3028
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/03/2007",2.2969
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/04/2007",2.2942
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/05/2007",2.2874
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/08/2007",2.2867
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/09/2007",2.2829
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/10/2007",2.2874
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/11/2007",2.2841
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/12/2007",2.2737
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/15/2007",2.2736
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/16/2007",2.2756
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/17/2007",2.2762
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/18/2007",2.2782
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/19/2007",2.2798
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/22/2007",2.2797
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/23/2007",2.2754
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/24/2007",2.2808
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/25/2007",2.2801
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/26/2007",2.2766
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/29/2007",2.2742
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/30/2007",2.2768
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/31/2007",2.2784
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/02/2007",2.2785
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/05/2007",2.2801
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/06/2007",2.2807
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/07/2007",2.2812
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/08/2007",2.2803
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/09/2007",2.2804
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/12/2007",2.2769
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/13/2007",2.267
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/14/2007",2.274
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/15/2007",2.2769
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/16/2007",2.277
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/21/2007",2.2787
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/22/2007",2.2781
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/23/2007",2.2791
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/26/2007",2.284
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/27/2007",2.2868
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/28/2007",2.292
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/01/2007",2.2943
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/02/2007",2.2999
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/05/2007",2.3031
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/06/2007",2.2977
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/07/2007",2.2957
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/08/2007",2.3
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/09/2007",2.2967
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/12/2007",2.2917
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/13/2007",2.2926
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/14/2007",2.2924
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/15/2007",2.2898
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/16/2007",2.2967
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/19/2007",2.2972
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/20/2007",2.2899
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/21/2007",2.2832
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/22/2007",2.2834
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/23/2007",2.2849
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/26/2007",2.2748
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/27/2007",2.2748
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/28/2007",2.2815
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/29/2007",2.2797
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/30/2007",2.2781
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/02/2007",2.276
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/03/2007",2.2804
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/04/2007",2.2782
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/05/2007",2.2829
