"indicator","session","currency","Unit","Date","Value"
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/13/2007",3.497
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/14/2007",3.499
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/15/2007",3.4965
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/16/2007",3.4925
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/21/2007",3.495
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/22/2007",3.4945
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/23/2007",3.4953
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/26/2007",3.4913
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/27/2007",3.492
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/28/2007",3.506
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/01/2007",3.505
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/02/2007",3.514
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/05/2007",3.5153
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/06/2007",3.516
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/07/2007",3.51
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/08/2007",3.5115
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/09/2007",3.5065
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/12/2007",3.5005
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/13/2007",3.5023
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/14/2007",3.5175
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/15/2007",3.509
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/16/2007",3.5128
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/19/2007",3.504
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/20/2007",3.4965
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/21/2007",3.4815
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/22/2007",3.464
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/23/2007",3.4695
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/26/2007",3.4538
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/27/2007",3.452
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/28/2007",3.4605
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/29/2007",3.4605
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","03/30/2007",3.456
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/02/2007",3.454
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/03/2007",3.463
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/04/2007",3.457
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/05/2007",3.454
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/06/2007",3.4493
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/09/2007",3.4465
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/10/2007",3.449
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/11/2007",3.448
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/12/2007",3.4515
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/13/2007",3.4418
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/16/2007",3.4375
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/17/2007",3.4353
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/18/2007",3.431
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/19/2007",3.425
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/20/2007",3.424
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/23/2007",3.423
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/24/2007",3.424
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/25/2007",3.4205
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/27/2007",3.4213
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","04/30/2007",3.423
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/03/2007",3.4223
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/04/2007",3.42
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/07/2007",3.419
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/08/2007",3.414
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/09/2007",3.409
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/10/2007",3.4018
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/11/2007",3.4078
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","05/14/2007",3.4015
